phoneme	name
⁵	SUPERSCRIPT FIVE
¹	SUPERSCRIPT ONE

	NO NAME
²	SUPERSCRIPT TWO
⁴	SUPERSCRIPT FOUR
³	SUPERSCRIPT THREE
͡	COMBINING DOUBLE INVERTED BREVE
⁻	SUPERSCRIPT MINUS
⁽	SUPERSCRIPT LEFT PARENTHESIS
⁾	SUPERSCRIPT RIGHT PARENTHESIS
.	FULL STOP
g	LATIN SMALL LETTER G
⁰	SUPERSCRIPT ZERO
̍	COMBINING VERTICAL LINE ABOVE
͜	COMBINING DOUBLE BREVE BELOW
̀	COMBINING GRAVE ACCENT
‿	UNDERTIE
,	COMMA
ɝ	LATIN SMALL LETTER REVERSED OPEN E WITH HOOK
˔	MODIFIER LETTER UP TACK
ᵊ	MODIFIER LETTER SMALL SCHWA
⁓	SWUNG DASH
~	TILDE
᷈	COMBINING GRAVE-ACUTE-GRAVE
ˣ	MODIFIER LETTER SMALL X
ʸ	MODIFIER LETTER SMALL Y
́	COMBINING ACUTE ACCENT
ᵝ	MODIFIER LETTER SMALL BETA
̂	COMBINING CIRCUMFLEX ACCENT
̌	COMBINING CARON
ᵑ	MODIFIER LETTER SMALL ENG
ᶢ	MODIFIER LETTER SMALL SCRIPT G
ꜜ	MODIFIER LETTER RAISED DOWN ARROW
